Key,Doc Num,Frequency,IDF
năm_ngoái,24,25,4.8283137373023015
doanh_thu,26,33,4.748271029628765
xấp_xỉ,4,4,6.620073206530356
220,2,2,7.313220387090301
277,1,1,8.006367567650246
thành_lập,13,15,5.44141821018871
canam,1,2,8.006367567650246
huy_động,17,20,5.173154223594031
nông_thôn,8,8,5.926926025970411
eb,1,1,8.006367567650246
triển_khai,47,58,4.156219965940188
băng_thông_rộng,1,1,8.006367567650246
virginia,2,2,7.313220387090301
cục_trưởng_phòng_vệ,1,1,8.006367567650246
thương_mại,41,52,4.292795500945939
làm_chủ_tịch,3,3,6.907755278982137
cạnh_tranh,16,19,5.233778845410465
dũng,16,22,5.233778845410465
cục_trưởng,7,9,6.060457418594933
phòng_vệ,3,3,6.907755278982137
công_thương,13,14,5.44141821018871
bổ_nhiệm,7,10,6.060457418594933
suy_yếu,7,9,6.060457418594933
đà,23,28,4.870873351721097
sjc,5,9,6.396929655216146
sức_bật,1,2,8.006367567650246
biến_động,14,16,5.367310238034988
web,3,3,6.907755278982137
địa_ốc,4,6,6.620073206530356
kim,16,24,5.233778845410465
d2d,1,2,8.006367567650246
ctcp,10,11,5.703782474656201
hose,25,31,4.787491742782046
2203,1,1,8.006367567650246
giải_thể,4,9,6.620073206530356
thời_buổi,1,1,8.006367567650246
số_lượng,17,18,5.173154223594031
chia,21,25,4.961845129926823
hong_kong,4,4,6.620073206530356
tỷ_giá,5,14,6.396929655216146
vndusd,2,8,7.313220387090301
nhtm,1,2,8.006367567650246
ngang,9,11,5.809142990314028
trung_tâm,34,43,4.480007043034085
đồng_tiền,8,8,5.926926025970411
áp_dụng,22,23,4.915325114291931
603,1,1,8.006367567650246
biên_độ,4,5,6.620073206530356
tỷ_giá_sàn,2,2,7.313220387090301
22,13,14,5.44141821018871
423,1,1,8.006367567650246
nhúng,1,2,8.006367567650246
1960,2,3,7.313220387090301
pce,1,2,8.006367567650246
thất_thu,2,3,7.313220387090301
xếp_dỡ,1,1,8.006367567650246
hàng_hoá,3,4,6.907755278982137
đề_xuất,32,40,4.54063166485052
bốc_dỡ,1,1,8.006367567650246
hàng_hóa,4,4,6.620073206530356
quyên,5,8,6.396929655216146
niêm_yết,9,13,5.809142990314028
mwg,4,8,6.620073206530356
quỹ,21,30,4.961845129926823
strand,1,2,8.006367567650246
chinh_phục,9,12,5.809142990314028
đỉnh,11,15,5.608472294851876
kỉ_lục,2,3,7.313220387090301
2000,7,11,6.060457418594933
ngưỡng,7,12,6.060457418594933
cản,3,5,6.907755278982137
dễ_dàng,15,16,5.298317366548036
thuận_lợi,5,5,6.396929655216146
kim_loại,2,2,7.313220387090301
